qa4re_prompt,gold_option_letter,pred,gold,correct
"Determine which option can be inferred from the following passage.
Passage: Genome-wide loss-of-function genetic screening identifies opioid receptor u1 as a key regulator of L-asparaginase resistance in pediatric acute lymphoblastic leukemia.
Options:
A. L-asparaginase and acute lymphoblastic leukemia are positively correlated.
B. L-asparaginase and acute lymphoblastic leukemia are negatively correlated.
C. L-asparaginase and acute lymphoblastic leukemia are associated.
D. L-asparaginase and acute lymphoblastic leukemia have a drug interaction.
E. L-asparaginase and acute lymphoblastic leukemia are used in cotreatment.
F. L-asparaginase and acute lymphoblastic leukemia have no known relation.
Which option can be inferred?
Option:",F,C,F,False
"Determine which option can be inferred from the following passage.
Passage: Genome-wide loss-of-function genetic screening identifies opioid receptor u1 as a key regulator of L-asparaginase resistance in pediatric acute lymphoblastic leukemia.
Options:
A. opioid receptor u1 and acute lymphoblastic leukemia are positively correlated.
B. opioid receptor u1 and acute lymphoblastic leukemia are negatively correlated.
C. opioid receptor u1 and acute lymphoblastic leukemia are associated.
D. opioid receptor u1 and acute lymphoblastic leukemia have no known relation.
Which option can be inferred?
Option:",D,C,D,False
"Determine which option can be inferred from the following passage.
Passage: Genome-wide loss-of-function genetic screening identifies opioid receptor u1 as a key regulator of L-asparaginase resistance in pediatric acute lymphoblastic leukemia.
Options:
A. opioid receptor u1 and L-asparaginase are positively correlated.
B. opioid receptor u1 and L-asparaginase are negatively correlated.
C. opioid receptor u1 and L-asparaginase are associated.
D. opioid receptor u1 binds to L-asparaginase.
E. opioid receptor u1 and L-asparaginase have no known relation.
Which option can be inferred?
Option:",E,C,E,False
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. asparagine and NH3 are associated.
B. asparagine and NH3 have a drug interaction.
C. asparagine and NH3 are used in cotreatment.
D. asparagine and NH3 are compared.
E. asparagine and NH3 have no known relation.
Which option can be inferred?
Option:",A,A,A,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. asparagine and aspartate are associated.
B. asparagine and aspartate have a drug interaction.
C. asparagine and aspartate are used in cotreatment.
D. asparagine and aspartate are compared.
E. asparagine and aspartate have no known relation.
Which option can be inferred?
Option:",A,A,A,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. Methadone and leukemic are positively correlated.
B. Methadone and leukemic are negatively correlated.
C. Methadone and leukemic are associated.
D. Methadone and leukemic have a drug interaction.
E. Methadone and leukemic are used in cotreatment.
F. Methadone and leukemic have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. Methadone and opioid receptor u1 are positively correlated.
B. Methadone and opioid receptor u1 are negatively correlated.
C. Methadone and opioid receptor u1 are associated.
D. Methadone binds to opioid receptor u1.
E. Methadone and opioid receptor u1 have no known relation.
Which option can be inferred?
Option:",E,C,E,False
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. ubiquitin-conjugating enzyme E2C and acute lymphoblastic leukemia are positively correlated.
B. ubiquitin-conjugating enzyme E2C and acute lymphoblastic leukemia are negatively correlated.
C. ubiquitin-conjugating enzyme E2C and acute lymphoblastic leukemia are associated.
D. ubiquitin-conjugating enzyme E2C and acute lymphoblastic leukemia have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. carbonic anhydrase 1 and acute lymphoblastic leukemia are positively correlated.
B. carbonic anhydrase 1 and acute lymphoblastic leukemia are negatively correlated.
C. carbonic anhydrase 1 and acute lymphoblastic leukemia are associated.
D. carbonic anhydrase 1 and acute lymphoblastic leukemia have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. L-asparaginase and asparagine deficit are positively correlated.
B. L-asparaginase and asparagine deficit are negatively correlated.
C. L-asparaginase and asparagine deficit are associated.
D. L-asparaginase and asparagine deficit have a drug interaction.
E. L-asparaginase and asparagine deficit are used in cotreatment.
F. L-asparaginase and asparagine deficit have no known relation.
Which option can be inferred?
Option:",F,C,F,False
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. L-asparaginase and asparagine are associated.
B. L-asparaginase and asparagine have a drug interaction.
C. L-asparaginase and asparagine are used in cotreatment.
D. L-asparaginase and asparagine are compared.
E. L-asparaginase and asparagine have no known relation.
Which option can be inferred?
Option:",A,A,A,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. L-asparaginase and Methadone are associated.
B. L-asparaginase and Methadone have a drug interaction.
C. L-asparaginase and Methadone are used in cotreatment.
D. L-asparaginase and Methadone are compared.
E. L-asparaginase and Methadone have no known relation.
Which option can be inferred?
Option:",C,B,C,False
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. L-asparaginase and leukemic are positively correlated.
B. L-asparaginase and leukemic are negatively correlated.
C. L-asparaginase and leukemic are associated.
D. L-asparaginase and leukemic have a drug interaction.
E. L-asparaginase and leukemic are used in cotreatment.
F. L-asparaginase and leukemic have no known relation.
Which option can be inferred?
Option:",F,C,F,False
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. L-asparaginase and acute lymphoblastic leukemia are positively correlated.
B. L-asparaginase and acute lymphoblastic leukemia are negatively correlated.
C. L-asparaginase and acute lymphoblastic leukemia are associated.
D. L-asparaginase and acute lymphoblastic leukemia have a drug interaction.
E. L-asparaginase and acute lymphoblastic leukemia are used in cotreatment.
F. L-asparaginase and acute lymphoblastic leukemia have no known relation.
Which option can be inferred?
Option:",F,C,F,False
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. opioid receptor u1 and leukemic are positively correlated.
B. opioid receptor u1 and leukemic are negatively correlated.
C. opioid receptor u1 and leukemic are associated.
D. opioid receptor u1 and leukemic have no known relation.
Which option can be inferred?
Option:",C,C,C,True
"Determine which option can be inferred from the following passage.
Passage: L-asparaginase is a critical chemotherapeutic agent for acute lymphoblastic leukemia (ALL). It hydrolyzes plasma asparagine into aspartate and NH3, causing asparagine deficit and inhibition of protein synthesis and eventually, leukemic cell death. However, patient relapse often occurs due to development of resistance. The molecular mechanism by which ALL cells acquire resistance to L-asparaginase is unknown. Therefore, we sought to identify genes that are involved in L-asparaginase resistance in primary leukemic cells. By unbiased genome-wide RNAi screening, we found that among 10 resistant ALL clones, six hits were for opioid receptor mu 1 (oprm1), two hits were for carbonic anhydrase 1 (ca1) and another two hits were for ubiquitin-conjugating enzyme E2C (ube2c). We also found that OPRM1 is expressed in all leukemic cells tested. Specific knockdown of OPRM1 confers L-asparaginase resistance, validating our genome-wide retroviral shRNA library screening data. Methadone, an agonist of OPRM1, enhances the sensitivity of parental leukemic cells, but not OPRM1-depleted cells, to L-asparaginase treatment, indicating that OPRM1 is required for the synergistic action of L-asparaginase and methadone, and that OPRM1 loss promotes leukemic cell survival likely through downregulation of the OPRM1-mediated apoptotic pathway. Consistent with this premise, patient leukemic cells with relatively high levels of OPRM1 are more sensitive to L-asparaginase treatment compared to OPRM1-depleted leukemic cells, further indicating that OPRM1 loss has a crucial role in L-asparaginase resistance in leukemic patients. Thus, our study demonstrates for the first time, a novel OPRM1-mediated mechanism for L-asparaginase resistance in ALL, and identifies OPRM1 as a functional biomarker for defining high-risk subpopulations and for the detection of evolving resistant clones. Oprm1 may also be utilized for effective treatment of L-asparaginase-resistant ALL.Oncogene advance online publication, 26 June 2017; doi:10.1038/onc.2017.211.
Options:
A. opioid receptor u1 and acute lymphoblastic leukemia are positively correlated.
B. opioid receptor u1 and acute lymphoblastic leukemia are negatively correlated.
C. opioid receptor u1 and acute lymphoblastic leukemia are associated.
D. opioid receptor u1 and acute lymphoblastic leukemia have no known relation.
Which option can be inferred?
Option:",D,C,D,False
